Player,Age_Start,Age_End,Avg_PA,Seasons_Num,G,AB,R,H,1B,2B,3B,HR,RBI,XBH,SB,CS,BB,SO,TB,GIDP,HBP,SH,SF,IBB,Total_WAR,Avg_WAR,Last_3_WAR,BA,OBP,SLG,OPS,All_Stars,GGs,SSs,Bat_Titles,MVPs,WS_MVP,Pos,1_seasons,2_seasons,3_seasons,4_seasons,status
Dave Parker,22,39,529,17,2181,8267,1148,2443,1596,472,73,302,1337.0,847,144.0,107.0,606,1335.0,3967,186.0,45.0,1.0,77.0,154.0,42.5,2.5,1.6,0.296,0.369,0.48,0.849,6,3,3,0,1,0,9,9,3,4,1,hof
Dave Winfield,21,42,582,21,2927,10888,1658,3088,2002,535,88,463,1829.0,1086,222.0,96.0,1202,1660.0,5188,314.0,24.0,19.0,95.0,170.0,64.99999999999999,3.1,4.4,0.284,0.392,0.476,0.868,12,7,6,0,0,0,9,8,6,7,0,hof
Davey Lopes,27,42,459,16,1812,6354,1023,1671,1234,232,50,155,614.0,437,557.0,114.0,833,852.0,2468,126.0,31.0,74.0,48.0,38.0,42.400000000000006,2.7,4.6,0.263,0.394,0.388,0.782,4,1,0,0,0,0,4,12,0,4,0,retired
David Justice,23,36,472,14,1610,5625,929,1571,962,280,24,305,1017.0,609,53.0,46.0,903,999.0,2814,101.0,18.0,1.0,54.0,85.0,40.50000000000001,2.9,7.2,0.279,0.437,0.5,0.937,2,0,2,0,0,0,9,11,2,1,0,retired
David Ortiz,21,40,530,19,2398,8620,1418,2472,1280,632,19,541,1768.0,1192,17.0,9.0,1314,1738.0,4765,234.0,38.0,2.0,92.0,209.0,55.699999999999996,2.9,10.7,0.287,0.437,0.553,0.99,9,0,7,0,0,1,10,10,7,2,0,hof
David Wright,21,35,491,14,1585,5998,949,1777,1119,390,26,242,970.0,658,196.0,65.0,762,1292.0,2945,152.0,45.0,0.0,65.0,73.0,49.400000000000006,3.5,0.6,0.296,0.423,0.491,0.914,7,2,2,0,0,0,5,7,2,5,0,retired
Delino DeShields,21,33,428,19,2062,7026,1099,1868,1376,313,85,94,659.0,492,526.0,168.0,912,1424.0,2633,100.0,33.0,104.0,49.0,25.0,31.1,1.6,1.5,0.266,0.396,0.375,0.771,0,0,0,0,0,0,4,19,0,0,0,retired
Derek Jeter,22,38,697,17,2570,10503,1863,3292,2453,520,64,255,1247.0,839,348.0,95.0,1036,1732.0,4705,269.0,163.0,89.0,53.0,38.0,73.3,4.3,5.3,0.313,0.419,0.448,0.867,12,5,5,0,0,1,6,4,6,7,0,hof
Derrek Lee,21,35,531,15,1942,6962,1081,1959,1166,432,30,331,1078.0,793,104.0,48.0,874,1622.0,3444,199.0,70.0,2.0,55.0,72.0,34.5,2.3,7.7,0.281,0.41,0.495,0.905,2,3,1,0,0,0,3,12,1,2,0,retired
Devon White,22,38,475,17,1941,7344,1125,1934,1277,378,71,208,846.0,657,346.0,98.0,541,1526.0,3078,98.0,87.0,61.0,47.0,32.0,47.4,2.8,1.4,0.263,0.343,0.419,0.762,3,7,0,0,0,0,8,9,0,8,0,retired
